pizza_id,Size,Dough,MainFlavor,SecondFlavor,typeFlavor,price
1,Brotinho,Tradicional,Frango com Barbecue,Meat & Bacon,Super Premium,34.9
2,Brotinho,Tradicional,Frango com Barbecue,Extravaganzza®,Super Premium,34.9
3,Brotinho,Tradicional,Frango com Barbecue,Veggie®,Super Premium,34.9
4,Brotinho,Tradicional,Frango com Barbecue,Portuguesa,Super Premium,34.9
5,Brotinho,Tradicional,Frango com Barbecue,Pepperrock,Super Premium,34.9
6,Brotinho,Tradicional,Frango com Barbecue,Frango Grelhado,Super Premium,34.9
7,Brotinho,Tradicional,Frango com Barbecue,Frango com Cream Cheese,Super Premium,34.9
8,Brotinho,Tradicional,Frango com Barbecue,Egg & Bacon,Super Premium,34.9
9,Brotinho,Tradicional,Frango com Barbecue,Catuperoni,Super Premium,34.9
10,Brotinho,Tradicional,Frango com Barbecue,Calabresa Especial,Super Premium,34.9
11,Brotinho,Tradicional,Frango com Barbecue,Búfala La Bianca,Super Premium,34.9
12,Brotinho,Tradicional,Frango com Barbecue,Bauru,Super Premium,34.9
13,Brotinho,Tradicional,Frango com Barbecue,4 Queijos,Super Premium,34.9
14,Brotinho,Tradicional,Frango com Barbecue,América,Super Premium,34.9
15,Brotinho,Tradicional,Frango com Barbecue,Napolitana,Super Premium,34.9
16,Brotinho,Tradicional,Frango com Barbecue,Presunto,Super Premium,34.9
17,Brotinho,Tradicional,Frango com Barbecue,Pepperoni,Super Premium,34.9
18,Brotinho,Tradicional,Frango com Barbecue,Margherita,Super Premium,34.9
19,Brotinho,Tradicional,Frango com Barbecue,Pizza de Queijo,Super Premium,34.9
20,Brotinho,Tradicional,Frango com Barbecue,Corn & Bacon,Super Premium,34.9
21,Brotinho,Tradicional,Frango com Barbecue,Calabresa,Super Premium,34.9
22,Brotinho,Tradicional,Frango com Barbecue,Frango com Requeijão,Super Premium,34.9
23,Brotinho,Tradicional,Frango com Barbecue,3 Queijos,Super Premium,34.9
24,Brotinho,Tradicional,Meat & Bacon,Meat & Bacon,Super Premium,34.9
25,Brotinho,Tradicional,Meat & Bacon,Extravaganzza®,Super Premium,34.9
26,Brotinho,Tradicional,Meat & Bacon,Veggie®,Super Premium,34.9
27,Brotinho,Tradicional,Meat & Bacon,Portuguesa,Super Premium,34.9
28,Brotinho,Tradicional,Meat & Bacon,Pepperrock,Super Premium,34.9
29,Brotinho,Tradicional,Meat & Bacon,Frango Grelhado,Super Premium,34.9
30,Brotinho,Tradicional,Meat & Bacon,Frango com Cream Cheese,Super Premium,34.9
31,Brotinho,Tradicional,Meat & Bacon,Egg & Bacon,Super Premium,34.9
32,Brotinho,Tradicional,Meat & Bacon,Catuperoni,Super Premium,34.9
33,Brotinho,Tradicional,Meat & Bacon,Calabresa Especial,Super Premium,34.9
34,Brotinho,Tradicional,Meat & Bacon,Búfala La Bianca,Super Premium,34.9
35,Brotinho,Tradicional,Meat & Bacon,Bauru,Super Premium,34.9
36,Brotinho,Tradicional,Meat & Bacon,4 Queijos,Super Premium,34.9
37,Brotinho,Tradicional,Meat & Bacon,América,Super Premium,34.9
